run,returncode,sync_producer_time_ms,sync_end_to_end_time_ms,sync_attempted,sync_logged,sync_dropped,sync_dropped_denominator,sync_dropped_pct,sync_producer_lines_sec,sync_end_to_end_lines_sec,sync_checksum,async_producer_time_ms,async_end_to_end_time_ms,async_attempted,async_logged,async_dropped,async_dropped_denominator,async_dropped_pct,async_producer_lines_sec,async_end_to_end_lines_sec,async_checksum,sync_valid_sum,sync_valid_expected,async_valid_sum,async_valid_expected,spd_producer_time_ms,spd_end_to_end_time_ms,spd_attempted,spd_logged,spd_dropped,spd_dropped_denominator,spd_dropped_pct,spd_producer_lines_sec,spd_end_to_end_lines_sec,spd_checksum,spd_valid_sum,spd_valid_expected
1,0,1082.28,1082.28,400000,400000,0,400000,0.0,369591.0,369591.0,0x9c203f5b85d1ed12,73.89,74.1,400000,400000,0,400000,0.0,5413164.0,5397956.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,264.19,265.32,400000,86004,313996,400000,78.5,1514064.0,1507613.0,0x9c203f5b85d1ed12,400000,400000
2,0,972.13,972.13,400000,400000,0,400000,0.0,411467.0,411467.0,0x9c203f5b85d1ed12,76.09,76.29,400000,392147,7853,400000,2.0,5256663.0,5243206.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,258.08,258.48,400000,106159,293841,400000,73.5,1549922.0,1547486.0,0x9c203f5b85d1ed12,400000,400000
3,0,950.91,950.91,400000,400000,0,400000,0.0,420650.0,420650.0,0x9c203f5b85d1ed12,74.29,74.54,400000,394058,5942,400000,1.5,5384657.0,5366312.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,267.17,268.68,400000,97048,302952,400000,75.7,1497174.0,1488785.0,0x9c203f5b85d1ed12,400000,400000
4,0,952.61,952.61,400000,400000,0,400000,0.0,419899.0,419899.0,0x9c203f5b85d1ed12,74.51,74.71,400000,397948,2052,400000,0.5,5368589.0,5353959.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,260.64,261.0,400000,107999,292001,400000,73.0,1534695.0,1532575.0,0x9c203f5b85d1ed12,400000,400000
5,0,947.99,947.99,400000,400000,0,400000,0.0,421944.0,421944.0,0x9c203f5b85d1ed12,73.31,73.55,400000,399644,356,400000,0.1,5455935.0,5438332.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,262.68,263.75,400000,104979,295021,400000,73.8,1522782.0,1516570.0,0x9c203f5b85d1ed12,400000,400000
6,0,930.84,930.84,400000,400000,0,400000,0.0,429721.0,429721.0,0x9c203f5b85d1ed12,74.09,74.27,400000,400000,0,400000,0.0,5398835.0,5385916.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,326.54,327.2,400000,110649,289351,400000,72.3,1224960.0,1222489.0,0x9c203f5b85d1ed12,400000,400000
7,0,993.4,993.4,400000,400000,0,400000,0.0,402657.0,402657.0,0x9c203f5b85d1ed12,72.74,72.94,400000,400000,0,400000,0.0,5499309.0,5483667.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,264.06,264.74,400000,100820,299180,400000,74.8,1514791.0,1510937.0,0x9c203f5b85d1ed12,400000,400000
8,0,947.78,947.78,400000,400000,0,400000,0.0,422040.0,422040.0,0x9c203f5b85d1ed12,73.32,73.51,400000,389656,10344,400000,2.6,5455213.0,5441706.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,251.81,252.55,400000,101324,298676,400000,74.7,1588522.0,1583864.0,0x9c203f5b85d1ed12,400000,400000
9,0,952.89,952.89,400000,400000,0,400000,0.0,419775.0,419775.0,0x9c203f5b85d1ed12,72.05,72.36,400000,361517,38483,400000,9.6,5551637.0,5528052.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,269.06,269.49,400000,105328,294672,400000,73.7,1486639.0,1484287.0,0x9c203f5b85d1ed12,400000,400000
10,0,960.43,960.43,400000,400000,0,400000,0.0,416480.0,416480.0,0x9c203f5b85d1ed12,71.06,71.28,400000,382191,17809,400000,4.5,5629193.0,5611983.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,261.22,261.6,400000,103618,296382,400000,74.1,1531265.0,1529071.0,0x9c203f5b85d1ed12,400000,400000
11,0,967.28,967.28,400000,400000,0,400000,0.0,413529.0,413529.0,0x9c203f5b85d1ed12,72.04,72.33,400000,400000,0,400000,0.0,5552775.0,5529867.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,260.85,261.21,400000,102481,297519,400000,74.4,1533477.0,1531327.0,0x9c203f5b85d1ed12,400000,400000
12,0,921.71,921.71,400000,400000,0,400000,0.0,433976.0,433976.0,0x9c203f5b85d1ed12,69.12,69.41,400000,271801,128199,400000,32.0,5787195.0,5763064.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,255.77,257.34,400000,101020,298980,400000,74.7,1563898.0,1554347.0,0x9c203f5b85d1ed12,400000,400000
13,0,954.96,954.96,400000,400000,0,400000,0.0,418866.0,418866.0,0x9c203f5b85d1ed12,72.29,72.57,400000,400000,0,400000,0.0,5533080.0,5512040.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,272.33,272.8,400000,99233,300767,400000,75.2,1468831.0,1466295.0,0x9c203f5b85d1ed12,400000,400000
14,0,945.56,945.56,400000,400000,0,400000,0.0,423030.0,423030.0,0x9c203f5b85d1ed12,71.52,71.64,400000,400000,0,400000,0.0,5592518.0,5583711.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,249.59,250.33,400000,98227,301773,400000,75.4,1602653.0,1597873.0,0x9c203f5b85d1ed12,400000,400000
15,0,937.3,937.3,400000,400000,0,400000,0.0,426756.0,426756.0,0x9c203f5b85d1ed12,72.6,72.71,400000,400000,0,400000,0.0,5509701.0,5501654.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,246.4,247.59,400000,106566,293434,400000,73.4,1623386.0,1615584.0,0x9c203f5b85d1ed12,400000,400000
16,0,957.31,957.31,400000,400000,0,400000,0.0,417835.0,417835.0,0x9c203f5b85d1ed12,71.42,71.61,400000,400000,0,400000,0.0,5601063.0,5585741.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,263.08,263.47,400000,100929,299071,400000,74.8,1520424.0,1518196.0,0x9c203f5b85d1ed12,400000,400000
17,0,950.7,950.7,400000,400000,0,400000,0.0,420741.0,420741.0,0x9c203f5b85d1ed12,72.97,73.23,400000,389440,10560,400000,2.6,5481928.0,5462279.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,251.69,252.06,400000,101860,298140,400000,74.5,1589273.0,1586932.0,0x9c203f5b85d1ed12,400000,400000
18,0,931.26,931.26,400000,400000,0,400000,0.0,429526.0,429526.0,0x9c203f5b85d1ed12,73.69,73.91,400000,400000,0,400000,0.0,5427991.0,5412270.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,263.17,263.61,400000,95779,304221,400000,76.1,1519951.0,1517401.0,0x9c203f5b85d1ed12,400000,400000
19,0,940.14,940.14,400000,400000,0,400000,0.0,425467.0,425467.0,0x9c203f5b85d1ed12,75.24,75.39,400000,388148,11852,400000,3.0,5316489.0,5305444.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,253.96,254.35,400000,99542,300458,400000,75.1,1575068.0,1572618.0,0x9c203f5b85d1ed12,400000,400000
