metric,count,mean,median,stdev,min,max
sync_producer_time_ms,100,1048.2157,1023.25,68.93416477511296,971.56,1314.99
sync_end_to_end_time_ms,100,1048.2157,1023.25,68.93416477511296,971.56,1314.99
sync_attempted,100,400000.0,400000.0,0.0,400000.0,400000.0
sync_logged,100,400000.0,400000.0,0.0,400000.0,400000.0
sync_dropped,100,0.0,0.0,0.0,0.0,0.0
sync_dropped_denominator,100,400000.0,400000.0,0.0,400000.0,400000.0
sync_dropped_pct,100,0.0,0.0,0.0,0.0,0.0
sync_producer_lines_sec,100,383074.99,390911.5,22713.707792581285,304185.0,411708.0
sync_end_to_end_lines_sec,100,383074.99,390911.5,22713.707792581285,304185.0,411708.0
async_producer_time_ms,100,76.2466,74.17500000000001,7.010703536793443,71.37,113.82
async_end_to_end_time_ms,100,76.47879999999999,74.4,7.007867913058057,71.67,114.0
async_attempted,100,400000.0,400000.0,0.0,400000.0,400000.0
async_logged,100,395524.4,400000.0,9666.578679850352,346340.0,400000.0
async_dropped,100,4475.6,0.0,9666.578679850352,0.0,53660.0
async_dropped_denominator,100,400000.0,400000.0,0.0,400000.0,400000.0
async_dropped_pct,100,1.1179999999999999,0.0,2.4167504687664443,0.0,13.4
async_producer_lines_sec,100,5280351.75,5392533.0,379109.6820929714,3514472.0,5604831.0
async_end_to_end_lines_sec,100,5264150.87,5376138.5,377002.5068155987,3508804.0,5581015.0
sync_valid_sum,100,400000.0,400000.0,0.0,400000.0,400000.0
sync_valid_expected,100,400000.0,400000.0,0.0,400000.0,400000.0
async_valid_sum,100,400000.0,400000.0,0.0,400000.0,400000.0
async_valid_expected,100,400000.0,400000.0,0.0,400000.0,400000.0
